Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
Messaging|Ուղերձում
Messaging Application Programming Interface|ուղերձների առաքման կիրառական ծրագրի միջերես
Messenger|Messenger
metadata|մետատվյալ
metadata package|մետատվյալների փաթեթ
metafile|անդրնիշք
metered data plan|չափված տվյալային փաթեթ
metered Internet connection|չափված Համացանցային կապակցում
metered network|չափված ցանց
method|եղանակ
metric|չափք
microblogging|միկրոբլոգավորում
microprocessor|մանրամշակիչ
microsite|միկրոկայք
Microsoft|Microsoft
Microsoft account|Microsoft-ի հաշիվ
Microsoft account logins|Microsoft-ի հաշվի մուտքանուններ
Microsoft Active Protection Service|Microsoft գործուն պաշտպանության ծառայություն
Microsoft Advertising|Microsoft Գովազդ
Microsoft Alarms & Clock|Microsoft Ազդանշաններ & Ժամացույց
Microsoft Calculator|Microsoft Հաշվիչ
Microsoft Camera|Microsoft Խցիկ
Microsoft community|Microsoft համայնք
Microsoft Community|Microsoft Community
Microsoft Corporation|Microsoft Corporation
Microsoft design language|Microsoft-ի ձեւավորման լեզու
Microsoft developer|Microsoft Մշակող
Microsoft Disk Operating System|Microsoft-ի սկավառակի գործավար համակարգ
Microsoft Edge|Microsoft Edge
Microsoft Events|Microsoft իրադարձություններ
Microsoft Excel 2010|Microsoft Excel 2010
Microsoft Excel Home and Student 2010|Microsoft Excel Home and Student 2010
Microsoft Excel Mobile 2010|Microsoft Excel Mobile 2010
Microsoft Excel Starter 2010|Microsoft Excel Starter 2010
Microsoft family|Microsoft ընտանիք
Microsoft Family Safety|Microsoft Ընտանեկան ապահովություն
Microsoft Family Safety|Microsoft Ընտանեկան ապահովություն
Microsoft Get Started|Microsoft Ներածական
Microsoft Graph|Microsoft գծապատկեր
Microsoft Groove|Microsoft Groove
Microsoft Health|Microsoft Health
Microsoft Holograms|Microsoft Լիապատկերներ
Microsoft HoloLens|Microsoft HoloLens
Microsoft HoloLens Commercial Suite|Microsoft HoloLens Commercial Suite
Microsoft HoloLens Development Edition|Microsoft HoloLens Development Edition
Microsoft Hotmail|Microsoft Hotmail
Microsoft Hotmail|Microsoft Hotmail
Microsoft Knowledge Base|Microsoft-ի Գիտելիքների շտեմարան
Microsoft License Terms for Consumers|Microsoft-ի թույլտվության պայմաններ սպառողների համար
Microsoft Maps|Microsoft Քարտեզներ
Microsoft Media Foundation|Microsoft Media Foundation
Microsoft Movies & TV|Microsoft Շարժանկարներ և ՀՏ / Microsoft Ֆիլմեր և ՀՏ
Microsoft Office Backstage view|Microsoft Office Backstage տեսք
Microsoft Office Button|Microsoft Office կոճակ
Microsoft Office Document Imaging|Microsoft Office Document Imaging
Microsoft Office Document Imaging Format|Microsoft Office փաստաթղթի պատկերման ձևաչափ
Microsoft Office Forms Server|Microsoft Office-ի Ձևերի սպասարկիչ
Microsoft Office InterConnect|Microsoft Office InterConnect
Microsoft Office Language Interface Pack|Microsoft Office-ի Լեզվական միջերեսի փաթեթ
Microsoft Office Proofing Tools|Microsoft Office ստուգիչ գործիքներ
Microsoft OneDrive|Microsoft OneDrive
Microsoft OneDrive|Microsoft OneDrive
Microsoft OneDrive for Business|Microsoft OneDrive for Business
Microsoft Outlook 2010|Microsoft Outlook 2010
Microsoft Outlook Personal Folders Backup|Microsoft Outlook անձնական պանակների պահուստ
Microsoft Outlook Web App|validation rule
Microsoft Paint|Microsoft Paint
Microsoft Photos|Microsoft Լուսանկարներ
Microsoft Photos Plug-in|Microsoft Լուսանկարների ներդիր
Microsoft Points|Microsoft Կետեր / Microsoft Points
Microsoft PowerPoint Web App|Microsoft PowerPoint Web App
Microsoft Rewards|Microsoft Rewards
Microsoft Safety & Security Center|Microsoft-ի ապահովության և անվտանգության կենտրոն
Microsoft Schweiz GMBH|Microsoft Schweiz GMBH
Microsoft services|Microsoft ծառայություններ
Microsoft Services Agreement|Microsoft ծառայությունների համաձայնագիր
Microsoft Software Download|Microsoft ծրագրաշարի ներբեռնում
Microsoft Software License Terms|Microsoft-ի ծրագրաշարի լիցենզիայի պայմաններ
Microsoft StaffHub|Microsoft StaffHub
Microsoft Store|Microsoft խանութ
Microsoft Store|Microsoft խանութ
Microsoft Support|Microsoft Աջակցում
Microsoft Surface Hub|Microsoft Surface Hub
Microsoft Teams|Microsoft Teams
Microsoft text telephone|Microsoft-ի գրվածքային հեռախոս
Microsoft To-Do|Microsoft To-Do
Microsoft Translator Hub|Microsoft Translator Hub
Microsoft Update|Microsoft Update
Microsoft Update Catalog|Microsoft Update Գրացուցակ
Microsoft Update Solution Center|Microsoft Update Լուծումների կենտրոն
Microsoft Visual Studio Tools for Applications|Microsoft® Visual Studio® գործիքներ գործադիրների համար
Microsoft Voice Recorder|Microsoft Խոսագրիչ
Microsoft Wi-Fi|Microsoft Wi-Fi
Microsoft Windows Software Explorer|Microsoft Windows Software Explorer
midtone|միջին եղանակ
migrate|տեղափոխել
Minecraft: Education Edition|Minecraft: Education Edition
mini calendar|փոքր օրացույց
Mini toolbar|փոքր գործիքագոտի
Mini Translator|Մանրաթարգմանիչ
MinIE|MinIE
MinIE Frame|MinIE կադր / MinIE շրջանակ
minimize|նվազեցնել
minus sign|հանման նշան
mirror|հայելի
mirror margins|հայելատիպ լուսանցքներ
Mixed DPI mode|Խառնած DPI կերպ
mixed reality|խառը իրականություն
Mixed Reality Portal|Խառը իրականություն կայք
mixed world|խառը աշխարհ
mixtape|խառներիզ
MMS|MMS
mobile|շարժական
Mobile|Բջջային
mobile device|շարժական սարք
mobile hotspot|շարժական թեժ կետ
mobile operator|բջջային գործարկու
mobile phone|բջջային հեռախոս
mobile printing|շարժական տպագրություն
Mobile site|Շարժական կայք
Mobile view|Բջջային տեսք
modal dialog|պարտադիր երկխոսություն
mode|կերպ
modem|մոդեմ
Modern Attachments|Ժամանակակից կցորդներ
modern authentication|ժամանակակից իսկորոշում
MODI|MODI
modifier key|կերպափոխիչ ստեղն
modulator/demodulator|մոդեմ
MOICE|MOICE
Moji|Հույզիկ
Money|Ֆինանսական
monitor|մոնիտոր
monitoring software|վերահսկիչ ծրագրաշար
mood message|տրամադրության ուղերձ
mood panel|տրամադրության վահանակ
More|Ավելին
More Syllables|Ավելի շատ վանկեր
Morph|սահուն անցումով պատկեր / սահուն անցումով պատկեր
Most played apps|Առավել հաճախ օգտագործվողները
Most played games|Առավել հաճախ խաղացվողները
Most popular|Ամենահայտնիները
Most popular apps|Ամենահայտնի գործադիրները
Most popular games|Ամենահայտնի խաղերը
Most rented|Առավել հաճախ վարձակալվողները
Most rented apps|Առավել հաճախ վարձակալվող գործադիրները
Most rented games|Առավել հաճախ վարձակալվող խաղերը
motion focus|շարժման կիզակետ
motion path|շարժման ուղի
motion sensor|շարժման սենսոր
mouse|մկնիկ
mouse button|մկնիկի կոճակ
mouse click|մկնիկի կտտոց
mouse pointer|մկնիկի նշորդ
mouse shortcut|մկնիկի դյուրանցում
mouse wheel|մկնիկի անվակ
move|տեղափոխել
move handle|շարժող բռնակ
move mode|շարժման կերպ
Move to Non-Focused Inbox|Տեղափոխել նախապես չտեսակավորված մուտքի արկղ
Movie genres|Շարժանկարների ոճեր
Movie Maker|Կինոարտադրող
Movie Moments|Շարժանկար պահեր
Movie studios|Շարժանկարների տաղավարներ
Movies & TV|Շարժանկարներ և ՀՏ / Ֆիլմեր և ՀՏ
moving average|սահող միջին
moving average trendline|սահող միջինի միտման գիծ
moving border|սահող եզրագիծ
MPEG-7|MPEG-7
MS-DOS|MS-DOS
MS-DOS operating system|MS-DOS գործավար համակարգ
msinfo32.exe|msinfo32.exe
MSN Apps|MSN գործադիրներ
MSN Food & Drink|MSN Սնունդ և ըմպելիք
MSN Health & Fitness|MSN Առողջություն և ֆիթնես
MSN Money|MSN Ֆինանսական
MSN News|MSN Լուրեր
MSN Sports|MSN Սպորտ
MSN Travel|MSN Ճանապարհորդություն
MSN Weather|MSN Եղանակ
MTA|MTA
multi session-capable disc|բազմանգամյա գրանցման սկավառակ
Multidirectional Cycle|Բազմուղի շրջան
multifunction device|բազմագործառույթ սարք
Multilingual User Interface|Օգտվողի բազմալեզու միջերես
multimedia|մուլտիմեդիա
Multimedia Content Description Interface|Մուլտիմեդիա բովանդակության նկարագրության միջերես
Multimedia design|Մուլտիմեդիայի ձեւավորում
Multi-player online battle arena|Բազմախաղացող առցանց մարտերի մարզադաշտ
multiple choice question|բազմակի ընտրության հարցեր
multiple masters|բազմակի հիմնօրինակներ
multiple selection|բազմակի ընտրում
multiple-level category labels|բազմամակարդակ անվանակարգի պիտակներ
multiplication sign|բազմապատկման նշան
multi-stop slider|բազմականգ սահիչ
multithreaded apartment|բազմաշղթա բնակարան
multi-touch|բազմահպում
multi-touch input|բազմահպային ներածում
Music|Երաժշտություն
Music deals|Երաժշության զեղչեր
Music Pass|Music Pass
Music production|Երաժշտության ստեղծում
mute|համրեցնել
MXN|MXN
My Account|Իմ հաշիվը
My apps|Իմ գործադիրները
My Computer|Իմ համակարգիչը
My Day|Իմ օրը
My Documents|Իմ փաստաթղթերը
My movies & TV|Իմ շարժանկարները և ՀՏ
My Music|Իմ երաժշտությունը
My Notes|Իմ նշումները
My Office|Իմ Office-ը
My People|Իմ մարդիկ
my stuff|իմ բովանդակությունը
My Sways|Իմ Sway
My Tasks|Իմ խնդիրները
My videos|Իմ տեսանյութերը
My Watchlist|Հսկողության ցանկ
N.T. dollar|Նոր տայվանական դոլար
n/a|չ/կ
N/A|Չ/Կ
name|անուն
named item view|անվանված միավորի տեսք
named set|անվանակիր կազմ
NaN|Թիվ չէ
narration|ընթերցում
Narrator|Պատմող
nary|n-ական
n-ary|New n-ական
National Register of Legal Entities|իրավաբանական անձանց ազգային ռեգիստր
native boot|հարազատ սկզբնաբեռնում
native database query|տվյալների շտեմարան ուղղված սեփական հարցում
native query|սեփական հարցում
natural language searching|որոնում բնական լեզվով
natural pencil|բնական մատիտ
Natural Persons Register|ֆիզիկական անձանց ռեգիստր
natural query syntax|հարցում բնական շարահյուսությամբ
navigate|նավարկել
navigation|նավարկում
Navigation & maps|Նավիգացիա և քարտեզներ
navigation bar|նավիգացիոն գոտի
navigation drawer|նավարկման հարթակ
navigation layout|նավարկման դասավորություն
navigation pane|նավիգացիոն փեղկ
NDA|NDA
negative indent|բացասական նահանջ
nested table|ներդրված աղյուսակ
Nested Target|Ներդրված թիրախ
netbook|ցանցակարգիչ
network|ցանց
Network & Internet|Ցանց և համացանց
network adapter|ցանցի հարմարիչ
network administrator|ցանցի վարիչ
Network and Sharing Center|Ցանցի և համօգտագործման կենտրոն
Network Center|Ցանցային կենտրոն
network configuration|ցանցի կազմաձեւ
network connection|ցանցային կապակցում
Network Diagram|Ցանցային գծապատկեր
network drive|ցանցային հիշասարք
Network Explorer|Ցանցախույզ
Network Printer Installation Wizard|Ցանցային տպիչի տեղադրման մոգ
network reset|ցանցի վերակայում
Networking|ցանց
neutral character|չեզոք գրանշան
New albums|Նոր ալբոմներ
New and rising|Նոր և գալիք
New and rising apps|Նոր գործադիրներ
New and rising games|Նոր խաղեր
New apps|Նոր գործադիրներ
New episode this week|Այս շաբաթվա նոր դրվագները
New games|Նոր խաղեր
New movies|Նոր շարժանկարներ
New music|Նոր երաժշտություն
New releases|Նոր թողարկումներ
New TV shows|Նոր ՀՏ հանդեսներ
Newest|Ամենանորերը
News|Լուրեր
News|Նորություններ
News & Weather|Նորություններ և եղանակ
News Banner|Լուրերի ազդերիզ
newsfeed|լուրերի մատուցում
newsgroup|լուրախումբ
newsletter|լրագիր
Newspaper|Լրագիր
next-of-kin process|ազգականների գործընթաց
nickname|մականուն
night light|գիշերային լույս
Night mode|Գիշերային կերպ
no-bar fraction|ոչ-գոտային կոտորակ
node|հանգույց
NOK|NOK
nonadjacent selection|ոչ հարակից ընտրվածք
nonbreaking hyphen|չընդհատող տողադարձիչ
nonbreaking space|չընդհատվող բացատ
nonce|միանվագ համար
Nondirectional Cycle|Ոչ ուղղորդված շրջան
Nonfiction|Ոչ գեղարվեստական
nonprinting character|չտպվող գրանշան
nonprinting region|չտպվող տարածք
non-scheme color|ոչ ուրվակազմային գույն
non-spacing character|անլայնք գրանշան
Normal style|Սովորական ոճ
Normal template|սովորական ձևանմուշ
normalization|կարգավորում
normalize|կարգավորել
not a number|ոչ թիվ
not applicable|ոչ կիրառելի
not valid|ոչ վավեր
note|նշում
note container|նշումների զետեղարան
note tag|նշման պիտակ
notebook|նոթատետր
Notebook List|նոթատետրի ցանկ
Notes E-mailed To Me|Ինձ ուղարկված նշումներ
notes page|նշումների էջ
notes pane|նշումների փեղկ
notification|ծանուցում
notification area|ծանուցման տարածք
notification banner|ծանուցման ազդերիզ
Notification bar|Ծանուցման գոտի
Now Playing|Այժմ նվագարկվում է
ntext|nգրվածք
NTFS|NTFS
NTFS file system|NTFS նիշքերի համակարգ
NTLM|NTLM
nudge|հրում
null|զրո
number sign|վանդականիշ
numbered list|համարակալված ցուցակ
numeric expression|թվային արտահայտություն
numeric keypad|թվային ստեղնախումբ
numeric picture switch|թվային նկարի փոխանջատիչ
NZD|NZD
object|առարկա
object class|առարկաների դաս
object handle|առարկայի բռնակ
object layout|առարկայի դասավորություն
object library|առարկաների դարան
object linking and embedding|առարկաների կապում և ներկառուցում
object zoom|առարկայի խոշորացում
OCM|Outlook-ի ՍԿ
OCR|գրաճանաչում
OCSP|OCSP
OCT|OCT
OData Connector|OData կապակցիչ
ODBC|ODBC
ODBC data source|ODBC տվյալների աղբյուր
ODBC driver|ODBC սարքավար
off-axis|առանցքից դուրս
Office 2016 Language Accessory Pack|Office 2016 Language Accessory Pack
Office 365|Office 365
Office 365 Advanced eDiscovery|Office 365-ի Էլ. տվյալների բարելավված բացահայտում
Office 365 connector|Office 365-ի կապակցիչ
Office 365 Connectors|Office 365-ի կապակցիչներ
Office 365 Education Plus|Office 365 Education Գումարած
Office 365 group|Office 365 խումբ
Office 365 Groups|Office 365-ի խմբեր
Office 365 Message Encryption Viewer|Office 365-ի ուղերձի գաղտնագրման դիտակ
Office 365 Project Time Reporter|Office 365 Project Time Reporter
Office 365 Support and Recovery Assistant|Office 365-ի Աջակցման և վերականգնման օգնական
Office 365 Users|Office 365-ի օգտվողներ
Office 365 Video|Office 365 Video
Office account|Office-ի հաշիվ
Office add-in|Office-ի հավելվածք
Office Add-ins|Office-ի հավելվածքներ
Office Auto-Revisions|Office-ի ինքնավերանայումներ
Office Button|Office-ի կոճակ
Office compatibility definition file|Office համատեղելիության սահմանման նիշք
Office data connection file|Office-ի տվյալների կապակցման նիշք
Office Diagnostics|Office-ի ախտորոշման կենտրոն
Office Dictate|Office Dictate
Office Document Cache|Office-ի Փաստաթղթերի դարակ
Office enabled device|Office-ի թույլատրված սարք
Office File Validation|Office-ի նիշքի վավերացում
Office Forms Server|Office-ի Ձևերի սպասարկիչ
Office Graph|Office Graph
Office Graph API|Office Graph-ի API
Office Graph edge|Office Graph-ի կապ
Office Graph node|Office Graph-ի հանգույց
Office Lens|Office Lens
Office Lens to Doc|Office Lens-ից Փաստ
Office Notification Hub|Office-ի ծանուցման կենտրոն
Office on Demand|Office ըստ պահանջի
Office Online Server|Office Online Server
Office Online Sharing Service|Office-ի առցանց համօգտագործման ծառայություն
Office Presentation Service|Office Presentation Service
Office Professional Academic 2016|Office պրոֆեսիոնալ ակադեմիական 2016
Office Side-by-Side|Office կողք կողքի
Office Store|Office խանութ
Office Telemetry Agent|Office հեռուստաչափության գործակալ
Office Telemetry Dashboard|Office հեռուստաչափության վահանակ
Office Telemetry Log|Office հեռուստաչափության մատյան
Office telemetry logging|Office հեռուստաչափության արձանագրում
Office Telemetry Processor|Office հեռուստաչափության պրոցեսոր
offline|անցանց
offline address book|անցանց հասցեագիրք
offline cube file|անցանց խորանարդի նիշք
offline data source|անցանց տվյալների աղբյուր
offline folder file|անցանց պանակի նիշք
offline Help|անցանց օգնություն
offline instant message|անցանց ակնթարթային ուղերձ
offline map|անցանց քարտեզ
offline mode|անցանց կերպ
OLAP|OLAP
OLAP cube|OLAP խորանարդ
OLAP provider|OLAP տրամադրող
OLAP server formatting|OLAP սպասարկչի ձևաչափում
OLE|OLE
OLE DB|OLE DB
OLE object|OLE առարկա
OLE/DDE link|OLE/DDE կապ
OLEDB|OLE DB
OME Viewer|ՕՈՒԳ դիտակ
onboard|առկող
OneDrive|OneDrive
OneDrive (cloud only)|OneDrive (միայն ամպում)
OneDrive camera roll|OneDrive ժապավեն
OneDrive for Business|OneDrive for Business
OneDrive for Mac|OneDrive Mac-ի համար
OneDrive.com|OneDrive.com
OneNote API|OneNote API
OneNote badge|OneNote-ի նշան
OneNote Class Notebook|OneNote դասի նոթատետր
OneNote Clipper|OneNote Clipper
OneNote Importer|OneNote ներմուծիչ
OneNote Preview|OneNote Preview
OneNote Staff Notebook|OneNote ուսուցչական անձնակազմի նոթատետր
OneNote Staff Notebook|OneNote անձնակազմի նոթատետր
one-sided test|մեկկողմանի փորձարկում
one-tailed test|միակողմանի փորձարկում
one-to-many relationship|մեկից-շատեր փոխհարաբերություն
OneX|OneX
online|առցանց
online account|առցանց հաշիվ
online analytical processing|առցանց վերլուծական մշակում
Online Archive|Առցանց արխիվ
Online Certificate Status Protocol|Վկայագրերի կարգավիճակի առգիծ հաղորդակարգ
online identity|առցանց ինքնություն
online manual|առ-գիծ ձեռնարկ
online status|առցանց վիճակ
Online Video|Առցանց տեսանյութ
ookmark TOC|էջանիշային բովանդակություն
open|բացել
Open Sync Center|Բացել համաժամեցման կենտրոնը
Open with|բացել ծրագրով
Open, suggested|Բաց, առաջարկվող
OpenDocument Presentation|OpenDocument ներկայացում
opening chevron|բացող չակերտ
opening curly quotation mark|բացող կեռ չակերտ
opening parenthesis|բացող փակագիծ
opening quotation mark|բացող չակերտ
operating system|գործավար համակարգ
operating system deployment|գործավար համակարգի օգտագործում
operation|գործողություն
operations master|գործողությունների կարգավորող
operator|գործարկու
Opposing Arrows|Հակադրող սլաքներ
opt in|համաձայնվել
opt out|հրաժարվել
optical character recognition|գրանշանների օպտիկական ճանաչում
optimize|լավարկել
opt-in|համաձայնություն
option button|ընտրանքի կոճակ
option group|ընտրանքի խումբ
optional attendee|կամավոր մասնակից
optional hyphen|փափուկ տողադարձիչ
Options|Ընտրանքներ
opt-out|հրաժարում
ordinal number|դասական թվական
org chart|կազմ գծույթ
organization|կազմակերպություն
organization chart|կազմակերպության գծապատկեր
Organize|Կազմակերպում
organizer|կազմակերպիչ
orientation|դիրք
orphan|անպետք տող
orphan line|անպետք տող
OSC|OSC
OSD|OSD
OSP|Առցանց ծառայություններ մատուցող
Out of Office|Գրասենյակից դուրս
Out of Office Assistant|Գրասենյակից դուրս օգնական
outbox|ելից
outdent|դուրս շեղում
outline|ուրվագիծ
outline data|ուրվագծային տվյալներ
outline effect|ուրվագծման էֆեկտ
outline layout view|ուրվագծային դասավորության տեսք
outline level|ուրվագծային մակարդակ
outline level|ուրվագծի մակարդակ
outline numbered list|ուրվագծային համարակալված ցուցակ
outline symbol|ուրվագծային նշան
Outlook Address Book|Outlook-ի հացեագիրք
Outlook Anywhere|Outlook-ն ամենուր
Outlook Connector Pack|Outlook-ի Կապափաթեթ
Outlook Customer Manager|Outlook Customer Manager
Outlook Groups|Outlook Groups
Outlook item|Outlook-ի միավոր
Outlook Mail and Calendar Accounts|Outlook-ի փոստի և օրացույցի հաշիվներ
Outlook on the web|Outlook-ը վեբում
Outlook Social Connector|Outlook Social Connector
Outlook Today|Outlook-ն այսօր
Outlook Web App|Microsoft Outlook Web App
Outlook Web App|Outlook Web App
Outlook.com|Outlook.com
output file|արտածման նիշք
overallocation|գերբեռնում
overflow|չափերի գերազանցում
overhead|վերադիր
overlap|վրածածկ
overlay|վերածածկ
overtype|վերատպել
overtype mode|վրատպման կերպ
Overview|Համատեսք
owner|տնօրինող
P2 header|P2 էջագլուխ
PAC|PAC
pack|փաթեթավորել
package|փաթեթ
PAE|PAE
page|էջ
page break|էջի ընդհատում
page break preview|էջի ընդհատման նախատեսք
PAGE DOWN key|ԷՋ ՎԱՐ ստեղն
Page Editor|Էջի խմբագրիչ
page fault|էջի սխալ
page field|էջի դաշտ
page file|էջանիշք
page footer|էջատակ
page group|Էջերի խումբ
page header|էջագլուխ
page layout|էջի դասավորություն
page layout view|էջի դասավորության տեսք
page margin|էջի լուսանցք
Page Movement|Էջային տեղաշարժ
page setup|էջի կարգավորում
page size|էջի չափ
page time|էջի ժամանակը
page title|էջի անվանում
PAGE UP key|ԷՋ ՎԵՐ ստեղն
pagefile|էջանիշք
pager|հեռատող
Page-Stack navigation|Հորիզոնական նավարկում էջերի միջև
pagination|էջակալում
paid cellular data|վճարովի բջջային տվյալներ
paid data network|վճարովի տվյալների ցանց
Paid Search Syndication|որոնման վճարովի միավորում
paid Wi-Fi data|վճարովի Wi-Fi տվյալներ
paid Wi-Fi services|վճարովի Wi-Fi ծառայություններ
Paint|Paint
Paint Drip|Ներկի կաթիլ
pair|զույգ
pairing|զուգավորում
palette|պնակ
Palette Launcher|Պնակի թողարկիչ
palette window|պնակի պատուհան
PAN|PAN
pan|համայնապատկերում
PAN|ՄՀՀ
pane|փեղկ
panning|համայնապատկերում
Panning Hand|Շարժաձեռք
panning mode|Շարժաձեռքի կերպ
panorama|համայնապատկեր
paper jam|թղթի խցանում
paper size|թղթի չափ
paragraph|պարբերություն
paragraph formatting|պարբերության ձևաչափում
paragraph mark|պարբերության նշան
paragraph style|պարբերության ոճ
parameter query|հարաչափի հարցում
parent container|ծնող զետեղարան
parent folder|ծնող պանակ
parent node|ծնող հանգույց
parental controls|ծնողական վերահսկում
PARENTHESIZED LATIN CAPITAL LETTER A|PARENTHESIZED LATIN CAPITAL LETTER A
pareto chart|պարետոյի գծապատկեր
parity|զույգություն
parity|զույգային
park|կայանել
parse|վերլուծել
partial replica|մասնակի վերօրինակ
partition|մասնաբաժին
Partner ID|Գործընկերային ID
partnership|համագործակցում
Parts of speech|Խոսքի մասեր
passcode|գաղտնի կոդ
passphrase|գաղտնաբառ
password|գաղտնաբառ
password protection|գաղտնաբառի պաշտպանություն
password stealer|գաղտնաբառերի գող
paste|կպցնել
Paste and go|Կպցնել եւ գնալ
patch|կարկատել
path|ուղի
pattern|նախշ
pattern-matching character|դերանշան
patterns|նախշեր
pause|դադար
pay as you go|վճարել ծառայությունից օգտվելու պահին
pay monthly|վճարել ամսական
pay rate|վճարման սակագին
payload|օգտակար բեռնվածք
payment instrument|վճարման միջոց
payment instrument challenge|վճարային միջոցի իսկորոշում
payment method|վճարման եղանակ
payout|վճարում
PayPal|PayPal
PC|ԱՀ
PC protection|ԱՀ պաշտպանություն
PC settings|ԱՀ կարգավորումներ
PC site|ԱՀ կայք
PCT|PCT
PDF reflow|PDF վերաձևաչափում
PDF Render|PDF-ի նյութավորում
peek|թռուցքադիտել
peer|հավասարազոր սարք
peer-to-peer network|նման-առ-նման ցանց
pen|գրիչ
pen comment|ձեռագիր մեկնաբանություն
pen plotter|գրչային գծագրիչ
pencil|մատիտ
pencil ink|մատիտի տեսքով թանաք
people|մարդիկ
People Near Me|Մերձավորներ
People Pane|Մարդկանց փեղկ
People peek|Մարդկանց թռուցքադիտում
people tag|մարդկանց պիտակ
People tags|Մարդկանց պիտակներ
percent complete|ավարտված տոկոս
percent sign|տոկոսի նշան
performance|արտադրողականություն
peripheral|արտաքին
Permanent Account Number|Մշտական հաշվեհամար
Permanent Time Zone Move Mode|Մշտական ժամային գոտու տեղափոխման կերպ
permission|թույլտվություն
permission policy|թույլտվության դրույթ
permissions|թույլտվություններ
Personal Address Book|Անձնական հասցեագիրք
Personal Area Network|Անձնական տարածքի ցանց
personal computer|անհատական համակարգիչ
personal finance|անձնական ֆինանսներ
Personal Folders Backup|Անձնական պանակների պահուստ
personal identification number|անձնական նույնականացման համար
Personal security|Անձնական անվտանգություն
personal settings|անձնական կարգավորումներ
personal vault|անհատական վկայակազմ
personal view|անձնական տեսք
personalization|անհատականացում
personalize|անհատականացնել
personalized activity|անհատականացված գործունեություն
personalized menu|անհատականացված ցանկ
personally identifiable information|անձնական տվյալներ
phase|փուլ
phishing|որսում
Phishing Filter|Հակաորսիչ
phishing website|խաբուսիկ վեբ կայք
Phone|Հեռախոս
Phone Companion|Հեռախոսի ուղեկից
Phones|Հեռախոսներ
Photo|Լուսանկար
Photo & video|Լուսանկարներ և տեսանյութ
Photo & video production|Լուսանկարների և տեսանյութի ստեղծում
photo album|լուսանկարների ալբոմ
Photo Gallery|Լուսանկարների սրահ
photo loop|լուսանկարների օղակ
photo mix|լուսանկարների խառնուրդ
photo sharing|լուսանկարի համօգտագործում
Photo Viewer|Լուսանկարների դիտակ
Photos|Լուսանկարներ
Photos Preview|Լուսանկարների դիտում
physical address extension|ֆիզիկական հասցեի ընդլայնում
pica|պիկա
Picks for you|Ընտրանի` ձեզ համար
picture|նկար
Picture Accent List|Նկարի շեշտման ցուցակ
Picture Accent Process|Նկարի շեշտման ընթացք
picture button|նկարով կոճակ
Picture Caption List|Նկարի խորագրերի ցուցակ
picture content|նկարի բովանդակություն
picture element|պատկերի տարր
picture frame|նկարի շրջանակ
picture password|նկար-գաղտնաբառ
picture placeholder|նկարի տեղապահ
Picture Presentation|Պատկերային ներկայացում
Picture Styles|Պատկերային ոճեր
Pictures|Նկարներ
pie chart|բլիթաձև գծապատկեր
pie of pie chart|բլիթաձև գծապատկեր
PII|ԱՏ
piid|piid
pile|կույտ
PIN|PIN
pin|ամրացնել
PIN code|PIN կոդ
PIN sign-in|PIN-ով մուտք գործում
pin to Start|ամրացնել Մեկնարկին
Pin to top|Ամրացնել վերին մասում
pinch|պտղունց
pinch|պտղունցել
pipe|ցից
pivot area|առանցքի տարածք
PivotChart category field|PivotChart-ի անվանակարգի դաշտ
PivotChart report|PivotChart–ի զեկույց
PivotChart series field|PivotChart-ի շարքերի դաշտ
PivotChart view|PivotChart–ի տեսք
PivotDiagram|PivotDiagram
PivotTable|PivotTable
PivotTable data|PivotTable–ի տվյալներ
PivotTable grand totals|PivotTable-ի հանրագումարներ
PivotTable list|PivotTable-ի ցանկ
PivotTable report|PivotTable-ի զեկույց
PivotTable subtotal|PivotTable-ի ենթագումար
PivotTable view|PivotTable-ի տեսք
pixel|փիքսել
Pixelate|Փիքսելավորում
PixelSense|PixelSense
placeholder|տեղապահ
placeholder text|տեղապահի գրվածք
Places|Վայրերի գործադիր
Places Bar|Տեղի գոտի
plain text|պարզ գրվածք
plaintext|չկոդավորված գրվածք
plan|ծրագիր
Plan Your Day|Ծրագրեք ձեր օրը
planar projection|հարթ պրոեկցիա
Planner|Planner
platformer|հարթակիչ
play|նվագարկել
Play To|Նվագարկել առ
playback|նվագարկում
player|նվագարկիչ
playhead|նվագարկիչի գլխիկ
playlist|նվագացուցակ
plot area|գծագրի տարածք
plug-in|ներդիր
plus or minus sign|«գումարած կամ հանած» նշան
plus sign|գումարման նշան
PNG|PNG
PO number|PO համար
point|կետ
pointer|նշորդ
pointing device|ցուցիչ սարք
point-of-sale activation|ակտիվացում վաճառակետում
Point-to-Point Protocol|Կետ-առ-Կետ հաղորդակարգ
Point-to-Point Protocol over Ethernet|Կետ-առ-Կետ հաղորդակարգ Ethernet-ով
policy|կանոններ
policy tip|կանոնների հուշակ
Policy Tips|Կանոնների հուշակներ
polynomial trendline|բազմանդամ միտման գիծ
Popular|Հայտնիները
Popular|Հանրաճանաչ
Popular artists|Հանրաճանաչ կատարողներ
Popular movies|Հանրաճանաչ շարժանկարներ
Popular music|Հանրաճանաչ երաժշտություն
Popular on Xbox|Հանրաճանաչ Xbox-ում
Popular shows|Հանրաճանաչ հանդեսներ
Popular stations|Հանրաճանաչ ռադիոկայաններ
pop-up menu|ելնող ցանկ
pop-up window|ելնող պատուհան
